Symbol,Date,Close
ADBE,3/28/2018,212.54
ADBE,3/29/2018,216.08
ADBE,4/2/2018,212.28
ADBE,4/3/2018,215.93
ADBE,4/4/2018,225.05
ADBE,4/5/2018,223.54
ADBE,4/6/2018,218.61
ADBE,4/9/2018,219.17
ADBE,4/10/2018,224.53
ADBE,4/11/2018,223.63
ADBE,4/12/2018,226.96
ADBE,4/13/2018,224.06
ADBE,4/16/2018,226.52
ADBE,4/17/2018,226.52
ADBE,4/18/2018,231.1
ADBE,4/19/2018,227.62
ADBE,4/20/2018,225.24
ADBE,4/23/2018,225.3
ADBE,4/24/2018,217.89
ADBE,4/25/2018,217.32
ADBE,4/26/2018,221.91
ADBE,4/27/2018,221.9
ADBE,4/30/2018,221.6
ADBE,5/1/2018,224.08
ADBE,5/2/2018,221.1
ADBE,5/3/2018,226.05
ADBE,5/4/2018,228.51
ADBE,5/7/2018,230.99
ADBE,5/8/2018,234.56
ADBE,5/9/2018,239.74
ADBE,5/10/2018,241.15
ADBE,5/11/2018,241.88
ADBE,5/14/2018,238.37
ADBE,5/15/2018,236.6
ADBE,5/16/2018,237.39
ADBE,5/17/2018,236.85
ADBE,5/18/2018,238.09
ADBE,5/21/2018,238.1
ADBE,5/22/2018,238.79
ADBE,5/23/2018,243.91
ADBE,5/24/2018,245.15
ADBE,5/25/2018,243.56
ADBE,5/29/2018,242.19
ADBE,5/30/2018,247.4
ADBE,5/31/2018,249.28
ADBE,6/1/2018,251.31
ADBE,6/4/2018,253.34
ADBE,6/5/2018,252.7
ADBE,6/6/2018,253.95
ADBE,6/7/2018,247.51
ADBE,6/8/2018,251.21
